Title,Artist,Album,Genre,Release Date,Duration,Popularity
Everyone own.,Michael Lynn,Bill yet.,Country,12-01-2020,161,4
Either cause.,Tyler Fry,At later.,Classical,15-12-2006,147,99
Wear international need.,Melanie Steele,Medical.,R&B,27-05-2014,272,24
Star see later.,Ashley Gutierrez,Student nearly.,Pop,14-11-2020,216,40
Control threat.,Lisa Lyons,Their prove.,Pop,02-11-2012,249,87
National admit PM.,Tracy Adams,Actually.,Classical,16-04-2015,208,81
Manage carry several.,Kathleen Pennington,Clearly.,Electronic,12-07-2007,256,91
Safe southern middle.,Nicolas Herman,Training set.,Blues,04-07-2000,120,79
Way yourself wind.,Aaron Ryan,Arrive.,R&B,23-01-2008,252,67
Spend why.,Tammy Johnston,Once should.,Hip-Hop,20-08-2012,163,96
Social mention.,Cody Beltran,Item form.,Rock,13-01-2014,259,24
Above pattern.,Donna Harris,One continue.,Blues,16-06-2019,207,38
Travel your successful.,John Martinez,Pass.,Hip-Hop,02-10-2002,272,53
Hair international.,Christine King,Voice.,Jazz,17-01-2010,285,28
Everyone space start.,Ann Avery,Respond.,Jazz,30-01-2008,219,22
Member hold.,Alexandra Miller,Improve here.,Reggae,31-10-2018,186,82
Or board.,Susan Johnson,Power.,Blues,10-05-2005,150,52
Place west as.,Kathleen Lee,Film everyone.,Country,31-03-2015,220,26
Fill establish.,Dennis Yu,Read right.,Classical,31-08-2007,232,4
Seven identify most.,Geoffrey Chase,Give.,Blues,20-05-2006,207,8
Century yeah remain.,Calvin Lee,Together.,Pop,25-10-2012,135,14
Campaign school low.,James Clark,Congress.,Pop,24-05-2007,249,26
Address employee.,Karen Whitaker,Young.,Blues,03-11-2005,253,0
Send on past.,Sarah Harvey,During.,Electronic,10-10-2017,123,14
Information woman.,Walter Buchanan MD,Movie.,Hip-Hop,17-03-2011,203,55
Item personal.,Dana Thompson,Agent decision.,Pop,29-07-2018,149,76
Response black quickly who.,Daniel Rogers,Either everyone.,Electronic,04-06-2017,123,32
Democrat.,Christopher Wright,Quality.,Rock,06-09-2002,153,69
Woman.,Shelly Burch,Also.,Blues,15-07-2007,133,32
Truth edge right world.,Brandon Burton,Moment.,Hip-Hop,12-11-2003,291,60
Free article would.,Kara Ryan,Control.,Pop,16-09-2015,171,20
Federal then.,Ricky Baird,Cost money.,Hip-Hop,19-04-2014,270,52
Compare feeling stand.,Antonio Edwards,Major mind.,Electronic,09-09-2004,294,97
Least ask.,Benjamin Neal,Nice society.,Reggae,27-04-2008,239,65
Red.,Dr. Robert Johnson,Without partner.,Classical,09-07-2017,170,70
Lay soon if place.,Caitlyn Black,Real represent.,Reggae,19-07-2008,202,12
Movement throw.,Lucas Brown,Whatever house.,Jazz,09-05-2020,299,18
Image director quite.,Donna Scott,Add four.,Rock,21-04-2000,151,35
Choice throw.,Carrie Brennan,Find environment.,Rock,11-04-2003,177,41
Full share still.,Jill Dennis,Data professional.,R&B,06-06-2007,245,93
West century culture.,Wesley Contreras,Face he.,Country,24-09-2009,135,93
Coach one could.,John Richardson,Local really.,Country,11-09-2008,125,72
Capital perform.,Richard Fields,Wait.,Electronic,11-12-2009,230,22
Camera.,Patricia Kaufman,Back food.,Jazz,10-04-2016,283,67
Person today.,Rachel Pham,Bring concern.,Hip-Hop,21-07-2016,294,68
Building entire.,Whitney Ray,Others.,Jazz,05-01-2009,140,72
Evidence memory road.,Robert Young,Company city.,Pop,23-02-2019,176,73
Authority long care.,Austin Gordon,Might.,Classical,26-06-2013,194,26
Become administration.,Kenneth Crawford,Go.,Classical,16-01-2001,207,77
Take.,Steven Gordon,Number watch.,Pop,12-04-2013,196,84
Base such value.,Dawn Ware,Candidate space.,Electronic,03-09-2013,194,47
Measure president.,Michele Duran,Shake window.,Rock,09-04-2004,248,97
Important wind strategy.,Brooke Jimenez,Travel.,Electronic,23-06-2018,165,2
Bag avoid.,Tom Taylor,Eye.,Reggae,03-04-2013,281,33
Able most few.,Keith Gonzalez,Role health.,Hip-Hop,17-09-2003,165,94
Fall middle operation.,Scott Ross,Something.,Rock,24-09-2019,158,32
Over today size.,April Bishop,Of scientist.,Reggae,15-07-2013,198,21
Long nor.,Nicholas Bennett DDS,Add.,Rock,01-02-2019,154,41
War citizen door fight.,Jonathan Stewart,Movement.,Blues,24-03-2016,132,39
Stuff soldier present we.,Stephanie Jimenez,Much everything.,Rock,10-08-2015,215,73
Entire never want.,Jenna Howe,People.,Pop,26-01-2020,162,46
Behind cut free moment.,Sara Silva,Reveal expect.,R&B,07-06-2011,189,83
Thing.,Colleen Mccoy,Nation.,Hip-Hop,02-09-2020,283,95
Film money citizen.,Elizabeth Moon,Majority one.,Rock,26-10-2013,274,27
Affect military pressure.,Hector Park,Fish join.,Electronic,15-06-2011,291,59
Bank standard.,Eric Dunn,Camera.,Classical,06-08-2015,179,80
Perform range sort above.,Cynthia Thomas,Admit.,Rock,27-08-2018,204,90
Well whatever get.,Margaret Rodriguez,Music page.,Reggae,20-05-2000,211,59
Conference production.,Antonio Cherry,Any.,Reggae,28-02-2007,271,32
Field.,Theresa Chen,President.,Pop,28-10-2001,245,36
Couple beat.,Morgan Case,Game.,Classical,19-06-2011,232,7
Such upon she.,Jeremy Silva,Network cell.,Hip-Hop,24-06-2002,248,86
East than.,Ms. Megan Johnson,Type.,Jazz,05-06-2018,289,98
Congress from.,Angela Medina,North bank.,Electronic,28-07-2001,220,48
Prove book attack.,Dr. Roger Jackson,According.,Blues,27-08-2007,203,87
Either toward.,Diamond Garcia,Race firm.,Rock,25-04-2004,237,94
Report minute.,Jeffery Gilmore,Everyone full.,Rock,14-01-2018,149,52
Some.,Amber Fox,Former stop.,R&B,18-03-2002,152,58
Newspaper born.,James Green,Budget.,Classical,30-07-2002,279,43
Significant else.,Steven Robinson,There media.,R&B,02-08-2020,243,2
Loss character.,Jose Jackson,Stuff interesting.,Rock,08-02-2019,181,12
Beyond question.,Lisa Gardner,Part find.,R&B,01-02-2009,254,93
None successful.,Edward Turner,Far picture.,Country,17-11-2000,168,9
Soon group.,Katherine Green,Later.,Reggae,11-12-2002,158,31
Offer risk hour.,Brittany May,Manager.,Jazz,28-12-2010,195,25
Fast expert southern avoid.,Albert Chang,Everybody rather.,Country,25-01-2009,167,51
Send girl.,Jessica Wolfe,North.,Hip-Hop,30-03-2013,158,43
Table if single.,Jennifer Jones,Nation.,Electronic,09-07-2011,147,86
Choice staff never.,Jillian White,Your story.,Classical,10-11-2016,248,5
Continue research.,Laura Hickman,Tell.,Blues,05-09-2010,231,3
Full responsibility listen time.,Jennifer Dougherty,Loss.,Country,09-02-2018,267,2
Buy skill almost.,Mariah Bell,Republican item.,Country,05-08-2014,290,81
So.,Rachel Robinson,Subject.,Country,06-12-2006,271,93
Evidence away build.,Daisy Daniel,Author.,R&B,10-08-2019,202,96
Ok.,Frank Nelson,Someone get.,R&B,24-02-2015,216,30
Allow personal.,Dustin Rich,Party organization.,Rock,16-09-2000,233,45
Section natural through result.,Courtney Holland,Student section.,Jazz,08-07-2007,158,30
Employee check sometimes.,Kyle Atkinson,Nature late.,Country,20-10-2018,159,94
Computer ground.,David Walls,Official support.,Blues,13-09-2014,255,67
Economy shoulder beyond.,Bryan Mendez,Suddenly be.,Electronic,19-10-2018,143,7
Answer partner.,Cameron Ballard,Hundred.,Classical,07-09-2004,258,44
Kind contain its break.,Andrea Huff,Mind.,R&B,21-01-2016,145,52
Risk staff.,Kevin Stein,Street use.,Electronic,06-12-2011,297,45
Strategy guy card tough.,Charles Coffey,Operation.,Pop,19-07-2008,125,60
Despite door.,Shane Taylor,Certainly baby.,Blues,17-07-2019,252,17
Carry professional.,Jacqueline Pena,Figure.,Blues,17-06-2004,217,63
Language offer south.,Charles Burgess,Professional.,Jazz,06-12-2020,274,100
Hundred lead hear.,David Schroeder,City become.,Blues,13-04-2019,181,50
Worry according.,Antonio Clark,Short now.,Electronic,17-12-2020,196,64
Protect speech.,Stephanie Young,Break lose.,Classical,22-11-2012,161,43
Realize short.,Daniel Williamson,What citizen.,Jazz,16-10-2005,148,62
Mention usually.,Mrs. Susan Chandler DDS,After all.,Reggae,30-04-2018,247,49
Game ago.,Scott Reyes,Part year.,Country,24-12-2017,176,57
Tough far realize.,Hailey Johnson,Lead section.,Reggae,27-06-2003,138,56
Upon action paper property.,Bruce Williamson,Consumer class.,Rock,14-10-2014,226,86
Fight everything.,Sarah Davis,Seven owner.,Blues,14-02-2011,134,32
Concern bar.,Mark Valenzuela,Also.,R&B,29-07-2016,238,3
Your cup.,Heather Miller,Certainly.,Country,04-06-2013,148,84
Leave to style.,Brett Fowler,Than us.,Country,19-09-2007,260,97
At better.,Megan Foster,Treat big.,Pop,22-06-2020,270,65
Describe expect but.,Joy Rodriguez,Let.,Electronic,18-11-2017,284,99
History investment.,Daniel Figueroa,Technology perform.,R&B,13-05-2015,187,66
Feeling head.,Edward Park,Serve.,Jazz,10-12-2008,242,98
Range somebody measure.,Matthew Lee,Require.,Electronic,30-07-2005,186,94
Away natural that.,Belinda Price,Apply popular.,Rock,01-08-2001,287,15
Party.,Dawn Yoder,Direction fear.,Reggae,11-08-2014,181,28
Inside beat central.,Sally Lopez,Increase seven.,Classical,01-10-2016,257,79
Size side act.,Corey Cummings,History.,Jazz,17-05-2015,198,86
Race yeah goal.,Bryan Brown,Actually.,Electronic,20-06-2004,235,89
Theory government.,Amanda Burton,Phone standard.,Electronic,25-10-2007,248,40
Onto police share.,Bradley Stout IV,Show cup.,Pop,16-11-2019,285,47
Decide watch trial.,Theresa Lopez,Successful next.,Pop,14-08-2014,145,38
Reach laugh.,Nichole York,Draw military.,Country,08-02-2017,134,95
Difference company friend.,Lindsey Terry,Doctor.,Pop,23-11-2010,180,87
Section bag.,Adam Guerrero II,Church situation.,Jazz,24-07-2015,120,72
Similar know.,Roberto Moses,Center.,Jazz,08-08-2018,245,29
School heavy cut.,Joshua Solomon,Property.,Rock,13-10-2005,179,35
Trip effect.,Shawn Holloway,Four past.,Rock,16-12-2018,174,52
Cold assume year.,George Walsh,Laugh.,Hip-Hop,18-08-2005,188,13
Bad alone pull.,Connie Taylor,Heart if.,Rock,01-02-2005,185,85
Democratic imagine I.,Joshua Lewis,Myself forget.,Country,29-03-2001,287,20
Difference affect where.,Susan Lane,Commercial.,Reggae,14-11-2006,277,30
Politics.,Valerie Henderson,Nice plan.,Jazz,26-09-2016,288,33
Through professional.,Peggy Smith MD,Artist may.,Rock,15-04-2012,258,17
Director be.,Zachary Ortiz,Win professional.,Pop,02-06-2018,280,56
Song marriage.,David Gonzalez,After value.,Hip-Hop,17-07-2006,166,24
Green much direction.,Samantha Johnston,Throughout job.,Classical,11-08-2006,191,30
Space happy third.,Mrs. Alicia Casey,Cause.,Country,09-11-2001,287,11
My fight often.,Julie Henry,Together.,Rock,07-09-2002,165,41
Least feel.,Marcus Grant,Question.,Country,29-09-2019,219,31
Stop picture test mother.,Brandy Sullivan,Letter enter.,Rock,15-08-2005,256,77
Fund responsibility.,Erica Miller,Let daughter.,Pop,20-12-2012,172,23
Far reality.,Jonathan Reynolds,Data.,Jazz,12-05-2006,243,77
Against couple couple.,Stephanie Lewis,Local understand.,Country,30-09-2012,136,37
Health beat.,Stephanie Torres,True collection.,Electronic,07-01-2012,266,81
Play fine.,Mark Hansen,Too.,R&B,05-09-2003,138,56
Notice condition leader.,William Herrera,Partner.,Electronic,19-12-2018,267,98
All.,Thomas Compton,Himself.,Classical,08-08-2006,127,19
Example TV.,Jennifer Contreras,Against skill.,Jazz,04-06-2019,208,73
American push before.,Logan Contreras,Prevent.,R&B,12-05-2009,120,100
Rule allow action stand.,Kenneth Tucker,Have.,Electronic,07-09-2003,223,44
Money glass.,Paul Stewart MD,Edge two.,Reggae,23-12-2002,245,5
Full color.,Shane Gregory,Kitchen.,R&B,10-10-2011,172,49
Plant tax.,Ashley Conner,Green onto.,Jazz,18-12-2017,266,64
Ground almost improve.,Patricia Frazier DDS,Might fast.,Reggae,14-08-2010,231,72
Program bring.,Richard Moore,I explain.,Jazz,19-07-2001,146,96
Individual reach.,Troy Mccullough,Learn.,Hip-Hop,28-07-2013,255,79
Rise own bit.,Jacqueline Bennett,Hear.,Reggae,20-02-2019,172,65
Possible letter note player.,Theresa Davis,Phone.,Electronic,25-03-2003,299,99
Friend best lay.,Jeffrey Green,Quickly.,Pop,29-04-2013,262,9
Which.,Parker David,Quite especially.,Rock,26-06-2013,169,64
Race.,Jessica Walker,Soldier local.,Classical,23-11-2006,141,78
Better meeting.,Christian Leon,Use.,Blues,25-06-2004,122,46
Assume expect.,Dustin Mckinney,Instead agreement.,Reggae,17-03-2007,138,71
Organization car.,Ashley Gonzalez,Matter effect.,Pop,15-11-2015,152,78
Sell down blood.,Stephanie Taylor,Even.,Pop,26-07-2015,201,96
Many consider.,Scott Brown,Out talk.,Classical,08-02-2002,129,36
Price whose.,Ariana Aguirre,Bit.,Jazz,29-01-2009,192,9
Remain page maybe.,Malik Parrish,Save near.,Country,29-08-2006,219,44
Never boy.,Natasha Ramirez,Call.,Reggae,20-04-2015,210,19
Trade consider.,Alicia Harper,Course method.,Pop,17-09-2017,192,31
Wait.,Brian Parker,Central us.,Blues,27-11-2007,297,45
Moment suddenly.,Edward Richards,Room effect.,Reggae,13-12-2008,288,80
Crime summer medical.,Melissa Lee,Believe.,Blues,02-04-2015,140,72
Research firm agency.,Mr. Alec Wang,Find.,Reggae,28-06-2007,163,65
Cause market enough.,Sara Davidson,Operation throw.,Hip-Hop,22-12-2011,148,63
Business.,Christopher Malone,Bar.,Jazz,17-12-2002,256,40
Firm.,Edward Hunter,Fear add.,Pop,07-11-2015,126,43
Girl current these.,Jennifer Perry,Represent during.,Reggae,02-07-2006,132,72
Stay total cell.,Christina Webb,Beyond.,Hip-Hop,12-07-2000,252,57
Series skin.,Chad Owens,Someone.,Electronic,04-05-2010,246,1
Protect fear strong cover.,Nicholas Peterson,Which.,Jazz,26-09-2017,292,60
Blue partner loss.,Jonathan Griffith,Century.,R&B,23-04-2002,195,24
Cell more.,Joseph Rivera,More think.,R&B,21-12-2018,163,57
As address tree.,James Andrews,Paper.,Pop,10-04-2006,156,70
Trip talk receive.,Sara Salas,Indicate.,Hip-Hop,18-04-2015,290,19
Not mission.,Catherine Foster,Off college.,Rock,26-04-2012,289,33
Reality moment.,Andrew Cross PhD,Establish.,Jazz,11-01-2013,285,18
Night perform bit.,Tina Myers,Out.,Electronic,02-06-2001,173,5
Space certainly.,Holly Taylor,Year.,Reggae,16-10-2013,145,55
Nearly certainly look.,Ronald Wilson,Between stop.,Electronic,06-04-2017,174,11
Late similar short.,Brian Nunez,Research.,Pop,16-11-2018,149,79
Once gas best.,Charlene Peterson,Think.,Electronic,24-05-2017,128,91
Reason home.,Charles Leonard,Good maintain.,R&B,25-09-2001,282,95
Campaign sing development.,Rachel Donovan,Process draw.,Reggae,11-08-2019,188,98
But shoulder music.,Andrew Ward,Response may.,Country,18-12-2007,154,13
Trial air.,Thomas Chen,Value.,R&B,05-08-2020,166,48
Career sit major.,Sheena Griffith,Mission prepare.,Classical,24-01-2000,131,60
Season glass wish.,Trevor Flores,Parent.,Rock,11-04-2000,180,66
Find material.,Mr. Philip Li,Condition probably.,Country,30-09-2012,261,79
Market traditional.,Zachary Burton,Just important.,Blues,17-12-2006,126,52
Professional base space.,Nathan Hutchinson,And.,Hip-Hop,05-09-2017,278,28
Eye trade your.,Tanya Smith,Chance.,Pop,14-06-2009,162,24
Together wonder political.,David Sloan,Investment win.,Blues,18-02-2000,237,82
Peace.,Edward James,Staff.,Jazz,03-04-2015,264,89
Fear argue if.,Michelle Gordon,Direction.,Electronic,19-03-2011,245,39
Throughout debate single.,Matthew Cooper,Their.,Hip-Hop,23-04-2000,169,3
Time maybe move.,Jerry Dawson,Agreement special.,Classical,05-03-2018,139,10
Report finally husband.,Angela Wallace,Director word.,Electronic,05-07-2014,186,25
Move phone guess themselves.,Maria Chase,Agree draw.,Hip-Hop,30-10-2014,125,41
Human Mrs.,John Terry,Deep.,Country,21-11-2000,238,5
Home force enter.,Heather Mcintyre,Letter win.,Reggae,05-04-2011,155,61
Learn theory son.,Steven Brown,Push.,Reggae,04-02-2010,261,8
Attorney industry.,David Ramos,Dog husband.,Country,06-06-2007,281,24
That director.,Heidi Fisher,Gun.,Blues,25-05-2008,170,17
Several college respond clearly.,Rebecca Swanson,Box among.,Pop,09-01-2015,243,9
Tree threat among.,Rachel Blair,Hold finish.,Hip-Hop,25-09-2004,212,33
Response already.,James Harrington,Information.,Reggae,15-07-2012,235,87
Their leg throughout surface.,Brian Lee,As.,Electronic,30-03-2006,292,17
Interest despite.,Cassie Martinez,From.,Hip-Hop,30-09-2012,190,6
Other add.,Kevin Lawrence,Prepare dark.,Jazz,18-09-2000,253,82
Reach.,Leah Clark,Effect.,Jazz,13-07-2010,258,0
Ability because.,Jaime Kim,Economic half.,Blues,08-05-2008,220,40
Act church law.,Robert Cochran,Culture.,Country,20-12-2003,257,3
Kid list her.,Shannon Davis,Where owner.,Jazz,31-01-2017,260,36
Artist to pass.,James Moss,Assume challenge.,Electronic,05-09-2003,193,57
Force strong compare.,Arthur Johnson,Election professor.,Electronic,06-06-2012,139,41
Risk despite student.,Beverly Grant,Should start.,Pop,17-08-2010,283,29
Half political.,Allison Johnson,Agreement.,Rock,23-11-2001,277,69
Democratic upon until.,Michelle Nichols,Center cover.,Pop,25-05-2007,287,3
Something young.,Robert Cook,Walk.,Blues,19-11-2001,226,85
Pay wide simple.,Diana Reeves,Method during.,Electronic,17-04-2008,125,83
Skin important.,Joseph Adams,Because fall.,Country,31-01-2013,188,47
Sure decide.,Jennifer Harris,Purpose.,Rock,11-12-2014,229,85
Country.,Stefanie Jones,First.,R&B,22-05-2006,168,79
Physical writer.,Lori Brewer,Understand project.,Rock,13-11-2004,243,19
Partner president while author.,Michael Martin,Skin seek.,Reggae,04-04-2012,244,78
Time computer father lawyer.,Judy Miller,Than character.,Classical,25-12-2004,150,95
Population material.,Daniel Burton,Sign.,Rock,04-01-2008,180,98
Mouth high.,Jade Martinez,Event.,Blues,28-12-2013,268,28
Especially sing parent.,Elizabeth Miles,Huge wide.,Rock,22-02-2018,174,88
Information participant.,Brent Huang,Become theory.,R&B,20-06-2005,283,82
Bring weight now.,Brian Baker,We.,R&B,03-07-2020,210,34
Month.,Scott Sanford,Son.,Electronic,11-06-2004,203,1
Garden card.,Kaitlyn Norton,Street party.,Classical,13-07-2000,154,27
Tonight day.,Kevin Bell DDS,Soon.,R&B,06-06-2019,206,97
Large protect.,Michele Brennan,All.,Rock,08-06-2017,232,26
She nice.,William Baker,Address.,Pop,02-02-2005,214,63
Rate agree Congress.,David Bradley,And.,Electronic,23-05-2007,125,10
Check ten but.,Michael Vazquez,Yeah instead.,Country,04-03-2020,210,1
Break issue particular reflect.,Patrick Fischer,Theory.,Rock,11-09-2011,166,68
Really time.,Meredith Castro,Time.,Electronic,10-11-2019,147,56
Window play system.,Michele Davis,He thank.,Classical,22-10-2005,284,83
Crime partner action.,Allen Chavez,Eye physical.,Blues,27-05-2016,277,34
School hold.,Nicole Hill,Unit military.,Reggae,05-01-2006,229,93
Great manage.,Madison Russell,Partner industry.,Rock,25-02-2017,184,8
News language.,Glenda Delacruz,Song truth.,Classical,22-01-2012,203,12
Center involve seem.,Scott Rose,Later.,R&B,17-06-2016,284,22
Daughter card.,Michael Bennett,Nothing.,Jazz,17-07-2005,120,23
Consider trial itself.,Jason Schultz,Wrong animal.,Classical,13-10-2005,264,45
Stay maintain cover.,Isaac Murray,Behavior.,Country,25-11-2009,217,68
Or scene.,Gerald Carter,Recent.,Reggae,08-02-2018,127,71
Social another young.,Kristina Watson,Nor material.,Rock,02-10-2015,263,49
Nice economic.,Brad Terry,Money.,R&B,06-10-2002,278,38
Late most cost.,Abigail Thomas,Them.,Rock,02-07-2013,167,23
Single much international.,Yolanda Dunn,Foot street.,Blues,22-05-2002,187,15
Public research.,John Jackson,After.,R&B,11-09-2015,282,17
Step fill no.,Jackson Chavez,Attack.,Hip-Hop,08-03-2005,147,78
Eight have.,Jillian Davis,Interview.,Blues,24-04-2017,246,1
There start minute.,Melissa Cochran,Cultural.,R&B,08-07-2004,229,97
Deep even similar.,Jessica Hunter,Appear.,Jazz,07-06-2001,288,47
Short.,Stephen Bullock,Experience somebody.,Blues,22-04-2011,159,61
Consumer speech.,Natalie Nelson,Most.,Electronic,06-03-2008,198,76
Nothing expect.,Jay Long,Between citizen.,Country,27-09-2014,215,36
Agree popular.,Carly Watson,What society.,Blues,31-08-2007,298,68
Western media sometimes establish.,Angelica Ramirez,Order far.,Rock,20-10-2000,178,38
Maybe exist your.,Joshua Clark,Foot data.,Pop,20-12-2013,149,48
Cultural just subject.,Isaac Villegas,Contain treatment.,Classical,19-08-2012,293,69
Else.,Michelle Aguilar,Environmental.,R&B,20-06-2009,145,82
Discover practice.,Gregory Bernard,Financial.,Hip-Hop,15-07-2014,190,89
Shoulder guess drive.,Amanda Jordan,Much positive.,Jazz,07-10-2001,260,74
Crime start.,Jose Gonzales,Bed member.,R&B,18-03-2012,162,59
Idea hospital model.,Lauren Williams,Voice issue.,Rock,26-01-2002,255,40
Source believe management.,Paul Weiss,Decision.,Electronic,24-08-2004,286,100
Vote event.,Cameron Miller,Maintain.,Hip-Hop,13-02-2006,234,38
Camera economic.,Tim Hartman,Gas parent.,Pop,28-03-2016,165,42
Song find.,Andrew Miller,Piece the.,Electronic,06-09-2016,152,80
Project operation.,Rachael Smith,Relate reason.,Hip-Hop,11-02-2018,204,88
Suffer lose.,Micheal Pierce,Price drop.,Blues,17-02-2002,283,69
Himself college.,Jeffrey Padilla,Wind training.,Blues,10-05-2004,222,3
Challenge his look.,Michael Brooks,Morning.,Rock,13-10-2018,270,22
Pm memory job.,Vanessa Levine,Fast.,Jazz,08-11-2004,150,19
Off situation child.,John Kirby,Gas.,Reggae,15-08-2004,185,27
Dog this.,Mr. David Munoz,Own.,Country,09-11-2020,204,75
Now wide.,Debra Clements,Get.,Reggae,25-03-2011,231,88
Pattern item matter it.,Kevin Ponce,Property.,Hip-Hop,17-06-2005,158,40
Upon color child.,Tasha Parker,Tell send.,Classical,16-10-2017,295,5
Job finally loss.,Jessica Foley,Rise.,Blues,12-02-2008,299,92
Will before.,Carlos King,Young.,Electronic,19-01-2013,151,73
Describe so reflect.,Gina Smith,Weight.,Jazz,07-08-2008,150,79
Attorney national within.,Luis Liu,Write between.,Jazz,15-03-2014,190,62
Conference.,Erin Benson,System.,Electronic,31-08-2001,239,20
Especially force market sister.,Lisa Garcia,One kid.,R&B,30-10-2008,186,97
Reality town.,Monica Hebert,Simple thing.,R&B,26-12-2017,272,25
Budget those.,Mrs. Haley Cannon,Wrong during.,Hip-Hop,17-12-2002,122,65
Television little.,Melissa Mann,Because.,Hip-Hop,20-02-2003,166,67
Home reach cut.,Tommy Johnson,Board.,Hip-Hop,01-03-2009,267,21
Station later.,Joseph Miranda,Player population.,Rock,01-09-2012,281,54
Maintain Mrs movie.,Kelly Mclaughlin,Present.,Jazz,25-10-2017,161,72
Learn.,Vicki Ramirez,High or.,Reggae,28-09-2017,264,56
Why walk edge.,David Foley,Always receive.,R&B,15-06-2020,251,31
Month century.,Joseph Shannon,Condition either.,Hip-Hop,20-05-2013,203,80
Finish feel everything describe.,Joshua Pittman,Street remain.,Rock,01-04-2015,167,78
Last resource budget.,Natasha Rodriguez,Dinner.,Country,01-09-2004,214,89
Response different well.,Alyssa Stevenson MD,Road.,R&B,19-05-2011,240,33
Arm surface college.,Amy Phillips,Study.,Rock,25-12-2020,152,27
Bill far.,Jenny Hill,Wait.,Country,05-03-2009,126,4
Decision person.,Ashley Bowen,Company son.,Electronic,09-05-2009,144,53
High some carry.,Lance Harris,Whom.,R&B,07-03-2019,207,67
Test want response.,Steven Ward,Exactly.,Hip-Hop,14-12-2012,270,44
Other follow unit.,Terry Williams,Respond.,Classical,28-04-2016,126,16
Small.,Kelly Elliott,Want.,Classical,20-05-2005,276,31
Traditional run still.,Jimmy Ingram,Personal.,Pop,04-06-2015,279,0
Play throughout visit.,John Porter,Probably table.,R&B,11-08-2006,253,18
Down wall.,Darin Lewis,Place.,Blues,12-02-2008,201,33
Out perform.,Brenda Haney,Risk.,Electronic,23-02-2004,181,1
Chance heavy particularly.,Robin Palmer,Writer.,Hip-Hop,10-01-2003,143,80
Field language light.,Jocelyn Francis,Research radio.,Rock,13-05-2017,152,19
Offer.,Joseph Green,Son.,Blues,01-03-2016,180,70
Half analysis second television.,Lauren Lyons,Heart exactly.,R&B,27-10-2003,216,35
Night best.,Heather Vance,You situation.,R&B,08-05-2011,200,74
Few structure.,Kristine Cook,Century.,Jazz,05-06-2002,168,30
Now learn air his.,Trevor Jones,Star.,R&B,07-01-2012,160,19
Will customer these.,Anthony Medina,Race.,Country,18-01-2009,187,49
Though professional space.,Karen Castillo,Eye.,R&B,20-11-2016,224,87
Including whom national.,Joshua Young,Even.,Jazz,02-10-2000,165,86
Exactly list board.,Jordan Richards,College.,Rock,12-03-2014,279,63
Health seem.,Joseph Garcia MD,Maintain.,Classical,08-11-2009,287,62
Member year player.,Debra Gordon,Road relationship.,Reggae,10-02-2009,293,67
Vote seem would.,Michael Shepherd,Me.,R&B,09-04-2005,130,71
Color home.,Susan Mahoney,Onto.,Electronic,26-02-2013,295,84
Hard near.,Kenneth Duran,Pressure.,Blues,15-03-2001,208,48
Wonder meet member.,Carl Soto,Democrat money.,Reggae,03-03-2007,166,41
Explain.,Krista Arroyo,Investment his.,R&B,28-09-2001,139,9
Capital point chair.,Amy Higgins,Second method.,Classical,12-07-2013,134,10
She member.,Joan Meyers,Lose six.,R&B,13-10-2000,177,28
Entire newspaper claim.,Matthew Pacheco,Improve.,Hip-Hop,05-03-2007,196,4
Produce society three.,Jesse King,Strategy.,Electronic,01-10-2020,149,65
Stuff interesting.,Jason Hunt,Child why.,Electronic,04-04-2015,142,82
Detail newspaper.,Caroline Peterson,Hear.,Country,07-04-2015,146,13
Ask could protect.,Michael Richardson,Why gun.,Country,19-03-2012,140,2
Dark fight simple.,Lance Miles,Bed.,Electronic,09-02-2018,143,25
Ahead technology.,Roy Gallegos,Financial bit.,Reggae,17-01-2000,224,35
Measure black least.,Katie White,Behind.,Country,01-05-2000,153,40
Room point.,Michelle Gardner,Establish fight.,Jazz,26-05-2019,257,21
Now sport.,Kevin Bates,Office some.,Pop,29-05-2012,175,90
Head.,Cynthia White,Agency.,Reggae,23-07-2011,176,53
Wall.,Bryan Burton,Small.,Jazz,26-09-2019,210,79
Police when than.,Brian Nelson,Majority else.,Rock,23-05-2017,241,48
Account young.,Christine Allen,Full business.,Country,12-06-2019,138,50
Board.,David Marsh,Forget.,Rock,22-04-2013,154,51
Management serious.,Ronald Mitchell,Of.,Classical,20-08-2014,284,40
Picture.,Wanda Hill,Challenge.,Hip-Hop,28-02-2013,165,40
Development paper chance record.,Colton Mueller,Ago anything.,Electronic,17-09-2005,162,97
By door.,Cindy Jones,Across employee.,Blues,21-04-2006,156,20
Live force deep.,Leslie Williams,Worry section.,Blues,10-04-2017,221,25
Suggest defense ground.,Fernando Gross,Relate.,Jazz,27-07-2003,234,60
Building great identify.,Maureen Newman,Take.,Hip-Hop,11-11-2002,128,87
Reason officer.,James Short,Share.,Classical,15-06-2012,240,1
Race exist bad.,Jennifer Johnson,Create.,Blues,26-08-2018,204,18
After clear card.,Justin Cunningham,Argue.,Country,10-03-2014,244,12
Page.,Angela Smith,Throughout.,Classical,25-12-2009,189,33
Standard soon.,Taylor Sims,Woman.,R&B,05-11-2017,280,94
Difference threat.,Patrick Marks,City.,Hip-Hop,22-06-2005,172,92
